transaction_id,event_time,customer_id,account_id,transaction_type,channel,amount,currency,card_token,merchant_id,mcc,merchant_country,beneficiary_id,beneficiary_country,device_id,ip_address,ip_country
ALD-T000767711,2026-04-29T00:04:18.685Z,ALD-C003358,ALD-A003358,CARD_PAYMENT,POS,19.27,EUR,tok_K004355,M001255,5411,PT,,,,,
ALD-T000767712,2026-04-29T00:04:59.601Z,ALD-C001537,ALD-A001537,TRANSFER,MOBILE,872.84,EUR,,,,,B003835,PT,D002206,79.215.14.229,PT
ALD-T000767713,2026-04-29T00:06:06.192Z,ALD-C000159,ALD-A000159,TRANSFER,MOBILE,1227.09,EUR,,,,,B000404,PT,D000228,79.153.248.54,PT
ALD-T000767714,2026-04-29T00:07:02.652Z,ALD-C002200,ALD-A002200,CARD_PAYMENT,ECOM,28.76,EUR,tok_K002855,M000411,4111,PT,,,D003153,79.170.242.166,PT
ALD-T000767715,2026-04-29T00:10:32.918Z,ALD-C001159,ALD-A001159,CARD_PAYMENT,ECOM,439.47,EUR,tok_K001491,M000048,5816,IT,,,D006166,98.7.29.168,ID
ALD-T000767716,2026-04-29T00:10:58.550Z,ALD-C000897,ALD-A000897,CARD_PAYMENT,ECOM,8.40,EUR,tok_K001152,M000185,5999,PT,,,D001292,79.25.131.28,PT
ALD-T000767717,2026-04-29T00:15:06.814Z,ALD-C002334,ALD-A002334,CARD_PAYMENT,POS,4.69,EUR,tok_K003029,M001148,4111,PT,,,,,
ALD-T000767718,2026-04-29T00:15:21.157Z,ALD-C000002,ALD-A000002,CARD_PAYMENT,ECOM,31.91,EUR,tok_K000002,M001147,5311,PT,,,D000002,79.204.141.149,PT
ALD-T000767719,2026-04-29T00:16:01.767Z,ALD-C001705,ALD-A001705,TRANSFER,WEB,87.95,EUR,,,,,B004268,PT,D005816,79.27.160.190,PT
ALD-T000767720,2026-04-29T00:16:11.572Z,ALD-C001637,ALD-A001637,CARD_PAYMENT,ECOM,149.00,EUR,tok_K002116,M001597,5691,PT,,,D005809,79.95.110.185,PT
ALD-T000767721,2026-04-29T00:21:51.199Z,ALD-C001750,ALD-A001750,TRANSFER,MOBILE,55.69,EUR,,,,,B004383,PT,D002520,79.10.255.228,PT
ALD-T000767722,2026-04-29T00:22:21.256Z,ALD-C001159,ALD-A001159,CARD_PAYMENT,ECOM,507.00,EUR,tok_K001491,M001519,5311,ES,,,D006166,98.7.29.168,ID
ALD-T000767723,2026-04-29T00:22:41.893Z,ALD-C003339,ALD-A003339,CARD_PAYMENT,ECOM,36.67,EUR,tok_K004332,M000219,5411,PT,,,D004731,79.55.200.190,PT
ALD-T000767724,2026-04-29T00:23:18.327Z,ALD-C001094,ALD-A001094,CARD_PAYMENT,ECOM,15.04,EUR,tok_K001409,M000173,4111,PT,,,D001565,79.209.15.121,PT
ALD-T000767725,2026-04-29T00:23:34.737Z,ALD-C001871,ALD-A001871,CARD_PAYMENT,POS,16.24,EUR,tok_K002426,M000052,5411,PT,,,,,
ALD-T000767726,2026-04-29T00:26:33.030Z,ALD-C002440,ALD-A002440,CARD_PAYMENT,ECOM,277.04,EUR,tok_K003170,M001090,5812,PT,,,D003498,79.60.49.123,PT
ALD-T000767727,2026-04-29T00:29:07.779Z,ALD-C003656,ALD-A003656,CARD_PAYMENT,POS,8.43,EUR,tok_K004745,M001408,4111,PT,,,,,
ALD-T000767728,2026-04-29T00:29:58.323Z,ALD-C002375,ALD-A002375,TRANSFER,MOBILE,209.99,EUR,,,,,B023795,PT,D003401,79.141.37.180,PT
ALD-T000767729,2026-04-29T00:35:20.775Z,ALD-C002305,ALD-A002305,TRANSFER,MOBILE,128.91,EUR,,,,,B005782,PT,D003298,79.60.113.114,PT
ALD-T000767730,2026-04-29T00:35:28.639Z,ALD-C002358,ALD-A002358,CARD_PAYMENT,POS,31.31,EUR,tok_K003063,M000384,5691,PT,,,,,
ALD-T000767731,2026-04-29T00:36:21.916Z,ALD-C001878,ALD-A001878,CARD_PAYMENT,POS,14.95,EUR,tok_K002436,M000626,5411,PT,,,,,
ALD-T000767732,2026-04-29T00:37:32.205Z,ALD-C001896,ALD-A001896,CARD_PAYMENT,POS,72.12,EUR,tok_K002456,M000828,5732,PT,,,,,
ALD-T000767733,2026-04-29T00:38:48.564Z,ALD-C001159,ALD-A001159,CARD_PAYMENT,ECOM,383.85,EUR,tok_K001491,M001570,5816,NL,,,D006166,98.7.29.168,ID
ALD-T000767734,2026-04-29T00:40:30.286Z,ALD-C000676,ALD-A000676,CARD_PAYMENT,POS,41.99,EUR,tok_K000870,M001255,5411,PT,,,,,
ALD-T000767735,2026-04-29T00:46:16.017Z,ALD-C002090,ALD-A002090,CARD_PAYMENT,ECOM,22.83,EUR,tok_K002709,M001081,5812,PT,,,D002995,79.58.209.208,PT
ALD-T000767736,2026-04-29T00:50:01.989Z,ALD-C000254,ALD-A000254,CARD_PAYMENT,ECOM,158.21,EUR,tok_K000323,M000730,5541,PT,,,D000363,79.114.96.107,PT
ALD-T000767737,2026-04-29T00:51:47.974Z,ALD-C001501,ALD-A001501,TRANSFER,MOBILE,102.11,EUR,,,,,B018804,PT,D002148,79.87.203.120,PT
ALD-T000767738,2026-04-29T00:57:25.334Z,ALD-C000544,ALD-A000544,CARD_PAYMENT,POS,131.42,EUR,tok_K000699,M000077,5311,PT,,,,,
ALD-T000767739,2026-04-29T00:58:53.687Z,ALD-C003373,ALD-A003373,CARD_PAYMENT,ECOM,9.53,EUR,tok_K004378,M000029,5411,PT,,,D004776,79.203.124.5,PT
